Código,Descrição,Fornecedor
20997,CALCA MOM JEANS CLARO FEM.JEZZIAN,JEZZIAN
20998,CALCA JEANS CIGARRETE PLUS.JEZZIAN.FEPR,JEZZIAN
21000,CALCA CIGARRETE C/NERVURA 175156/177868.JEZZIAN,JEZZIAN
21001,CALCA CIGARRETE PRETA RASGO JOELHO .JEZZIAN,JEZZIAN
21002,CALCA FLARI JEANS C/ NERVURA .JEZZIAN,JEZZIAN
21003,CALCA SARJA MASC .JEZZAN,JEZZIAN
21004,BERMUDA JEANS MASC .JEZZIAN,JEZZIAN
21006,CALCA JEANS MASC .JEZZIAN,JEZZIAN
21007,BERMUDA JEANS MASC .JEZZIAN,JEZZIAN
21008,CALCA JEANS MASC.JEZZIAN. MEPR,JEZZIAN
21009,BERMUDA SARJA ALFAIATARIA C/CINTO PRETO.JEZZIAN. MJPR,JEZZIAN
21010,BERMUDA SARJA ALF COM CINTO ESTAMPADO MASC .JEZZIN,JEZZIAN
21011,BERMUDA SARJA ALF C/CINTO ESTAMPADO MASC .JEZZIAN,JEZZIAN
21012,BERMUDA SARJA COM CINTO ESTAMPADO MASC.JEZZIAN.MCPR,JEZZIAN
21013,BERMUDA SARJA ALFA COM CINTO ESTAMPADO MASC.JEZZIAN,JEZZIAN
21020,SHORT C/ BOLSO CELULAR MAIS FITNESS E2.FFPR,MAIS FITNESS
21021,SHORT SAIA C/TULE LATERAIS .MAIS FITNESS.FFPR,MAIS FITNESS
21024,TOP LYCRA PLUS MAIS FITNES P2. FIPR,MAIS FITNESS
21025,CALCA RECORTE TULE .MAIS FITNESS /LUZIA ROSA LEAO,MAIS FITNESS
21027,TOP TIRAS .MAIS FITNESS.FFPR,MAIS FITNESS
21028,SHORT RECORTE .MAIS FITNESS/LUIZA ROSA LEAO.,MAIS FITNESS
21030,SHORT METALIZADO .MAIS FITNESS/,MAIS FITNESS
21034,TOP TULE COSTAS .MAIS FITNESS,MAIS FITNESS
21037,TOP C/TIRAS FTE .MAIS FITNESS,MAIS FITNESS
21040,TOP FRANZIDO .MAIS FITNESS,MAIS FITNESS
21042,CALCA METALIZADA MAIS FITNESS C2.FFPR,MAIS FITNESS
21044,TOP METALIZADO MAIS FITNESS C4.FFPR,MAIS FITNESS
21046,BLUSA DRY .MAIS FITNESS,MAIS FITNESS
21048,SHORT POLIAMIDA LISA .MAIS FITNESS FFPR,MAIS FITNESS
21050,TOP POLIAMIDA TRANP MAIS FITNESS E4.FFPR,MAIS FITNESS
2771,SHORT INTIMO SENHORA REF:015. STYLLETO. FISL,STYLLETO
21057,SAIA PROMOCIONAL,PROMOCIONAL
2817,CONJUNTO ANGEL VINI,VINI
21065,CALCINHA CONFORT VUS FINO .ENCANTO,ENCANTO FEM
21066,TANGA LISA .ENCANTO. ENCANTO,ENCANTO FEM
21067,TANGAO FRANZIDA .ENCANTO,ENCANTO FEM
21086,TOP LUNA ESTAMPADO FITNESS.NILKAMP. FFPR,NILKAMP
21087,TOP LUNA LISO .NILKAMP,NILKAMP
21093,PROMOCIONAL INF VARIADAS,PROMOCIONAL
