Código,Descrição,Fornecedor
30277,VESTIDO ENVELOPE ESTAMPADO VISCOSE SARJADO.CANDY BEE.FCPR,CANDY BEE
30278,BLUSA FEM DUNA C/AMARRACAO ESTAPADA.AGTEX.FCPR,AGTEX
30279,BLUSA FEM DUNA M/M C/AMARRACAO LISA.AGTEX.FCPR,AGTEX
30280,VESTIDO VISCOLINHO MORCEGO ESTAMPADO.AGTEX.FCPR,AGTEX
30281,SAIA PLISSADA 5 MARIA LISA.AGTEX.FCPR,AGTEX
30282,SAIA PLISSADA 5 MARIA ESTAMPADA.AGTEX.FCPR,AGTEX
30283,BLUSA FEM M/M C/BOTOES E BOLSO.AGTEX.FCPR,AGTEX
30284,BLUSA FEM M/M C/BOTOES E BOLSO ESTAMPADA.AGTEX.FCPR,AGTEX
30285,SAIA MID ALFAIATARIA C/BOLSO.AGTEX.FCPR,AGTEX
30286,CALCA FEM DE ALFAIATARIA C/NERVURA.AGTEX.FCPR,AGTEX
30287,CINTO FEM COLORIDOS.GABRIEL KAMP.AASF,GABRIEL CAMP
30288,CINTO FERM CORES NEUTRAS.GABRIEL KAMP.AASF,GABRIEL CAMP
30289,COLETE FEM LINHO C/ELASTANO.CANDY BEE.FCPR,CANDY BEE
30290,CALCA FEM PANTALONA VSCOSE SARJADA C/CINTO.CANDY BEE.FCPR,CANDY BEE
30291,KIMONO VISCOSE SARJADA LISO COM ILHOES.CANDY BEE.FCPR,CANDY BEE
30292,VESTIDO LONGO VISOSE SARJADA UM OMBRO SO LISO.CANDY BEE.FCPR,CANDY BEE
30293,CROPPED C/ LASTEX UMA BOLA.CANDY BEE.FCPR,CANDY BEE
30294,SAIA LONGA BICOLOR.CANDY BEE.FCPR,CANDY BEE
30295,BLUSA FEM DE ALCA BOLA VISCOSE SARJASA LISA.CANDY BEE.FCPR,CANDY BEE
30296,VESTIDO DE ALCA LASTEX ESTAMPADO.CANDY BEE.FCPR,CANDY BEE
30297,VESTIDO M/M EM LASTEX ESTAMPADO.CANDY BEE.FCPR,CANDY BEE
30298,SHORT FEM LISO PLUS VISCOSE SARJADA.CANDY BEE.FPPR,CANDY BEE
30299,MACACAO DE ALCA PANTALONA PLUS.CANDY BEE.FPPR,CANDY BEE
30300,CALCA FEM FRISO PANTALONA ENVELOPE VISCOSE SARJADA.CANDY BEE.FPPR,CANDY BEE
30301,LENCO DEMAQUILANTE REMOVEDOR DE MAQUIAGEM. GABRIEL CAMP. AASF,GABRIEL CAMP
30302,PORTA CARTAO ESTAMPADO. GABRIEL CAMP. AASF,GABRIEL CAMP
30303,LAPIS DE OLHO 2 CORES. GABRIEL CAMP. AASF,GABRIEL CAMP
30304,LIP GLOSS HIDRADANTE RUBY ROSE. GABRIEL CAMP. AASF,GABRIEL CAMP
30305,"CINTO FEMININO VARIADOS. GABRIEL CAMP, AASF",GABRIEL CAMP
30306,CINTO FEMININO QUADRADO VARIADOS.GABRIEL CAMP. AASF,GABRIEL CAMP
30307,GLOSS LABIAL MAGIC GOLD C/ CORACAO. GABRIEL CAMP. AASF,GABRIEL CAMP
30308,BLUSA FEM DE LISTRA COM GOLA.GATA D+.FJAR,GATA D+
30309,SHORT SAIA C/3 BOTOES LISTRADO.GATA D+.FJAR,GATA D+
30310,TOP FEM LISO DE ALCA LARGA.GATA D+.FJPAR,GATA D+
30311,VESTIDO POLIAMIDA C/ARGOLA.GATA D+.FJAR,GATA D+
30312,SAIA COM ELASTICO NA CINTURA.GATA D+.FCAR,GATA D+
30313,BLUSA FEM S/MANGA FRENTE CURTA.GATA D+.FCAR,GATA D+
30314,VESTIDO ALCA DE ELASTICO 3MARIAS.GATA D+.FCAR,GATA D+
30315,CROPPED FEM DE LINHO ALCA C/ LACO(FESTA).MENINA MIMOSA.FJPR,MENINA MIMOSA
30316,BLUSA FEM TQC DE LINHO COM ELASTANO(FESTA).MENINA MIMOSA.FJPR,MENINA MIMOSA
30317,SHORT SAIA LACO DE LINHO C/ELASTANO(FESTA).MENINA MIMOSA.FJPR,MENINA MIMOSA
30318,MACAQUINHO FEM ALCA C/BRILHO LISTRADO.MENINA MIMOSA.FJPR,MENINA MIMOSA
30319,"CROPPED FEM DE ALCA LARGA CO, LEVE BABADO.MENINA MIMOSA.FJPR",MENINA MIMOSA
30320,BERMUDA FEM COM BOLSO E CINTO.MENINA MIMOSA.FJPR,MENINA MIMOSA
30321,SHORT FEM COM BOLSO GRANDE E BOTAO.MENINA MIMOSA.FJPR,MENINA MIMOSA
30322,BLUSA FEM M/M DE LESE C/FECHO(FESTA).MENINA MIMOSA.FJPR,MENINA MIMOSA
30323,SAIA BALONE DE LESE (FESTA) .MENINA MIMOSA.FJPR,MENINA MIMOSA
30324,CROPPED FEM LESE DE ALCA LARGA C/BABADO(FESTA).MENINA MIMOSA.FJPR,MENINA MIMOSA
30325,SHORT FEM LESE C/ELASTICO NA CINTURA(FESTA).MENINA MIMOSA.FJPR,MENINA MIMOSA
30326,VESTIDO MID DE LESE ALCA LARGA(FESTA).MENINA MIMOSA.FJPR,MENINA MIMOSA
30327,SAIA FEM MID C/FENDA(FESTA).MENINA MIMOSA.FJPR,MENINA MIMOSA
30328,VESTIDO PLISSADO DE ALCA (COLECAO FESTA COORDENADO 1).MODA LOKA.FJPR,MODA LOKA
30329,BLUSA FEM PLISSADA DE ALCA C/BABADO (COLECAO FESTA COORDENADO 1).MODA LOKA.FJPR,MODA LOKA
30330,BLUSA FEM M/M PLISSADA (COLECAO FESTA COORDENADO 1).MODA LOKA.FJPR,MODA LOKA
30331,BLUSA FEM PLISSADA DUAS ALCAS (COLECAO FESTA COORDENADO 1).MODA LOKA.FJPR,MODA LOKA
30332,VESTIDO TORCIDO EM UMA ALCA (COLECAO FESTA COORDENADO 2).FJPR,MODA LOKA
30333,SHORT SAIA (COLECAO FESTA COORDENADO 2).MODA LOKA.FJPR,MODA LOKA
30334,KIT P/MAKE COM 2.GABRIEL KAMP.AASF,GABRIEL CAMP
30335,KIT ESPONJA +PINCEL HEXAGONAL.GABRIEL KAMP.AASF,GABRIEL CAMP
30336,BLUSA FEM OMBRO A OMBRO (COLECAOFESTA COORDENADO 2).MODA LOKA.FJPR,MODA LOKA
30337,VESTIDO TULE DE ALCA (COLECAO FESTA COORDENADO 2)MODA LOKA.FJPR,MODA LOKA
30338,TOP FEM TCQ TULE (COLECAO FESTA COORDENADO 3).MODA LOKA.FJPR,MODA LOKA
30339,SAIA DE TULE(COLECAO FESTA COORDENADO 3).MODA LOKA.FJPR,MODA LOKA
30340,MACACAO DE ALCA C/ELASTICO NA CINTURA(COLECAO FESTA COORDENADO 4),MODA LOKA
30341,CALCA FEM PANTALONA (COLECAO FESTA COORDENADO 4).MODA LOKA.FJPR,MODA LOKA
30342,BLUSA FEM COM BABADO(COLECAO FESTA COORDENADO 4).MODA LOKA.FJPR,MODA LOKA
30343,CROPPED ALCA LARGA(COLECAO FESTA COODENADO 5).MODA LOKA.FJPR,MODA LOKA
30344,SHORT SAIA COM 3 BOTOES.MODA LOKA.FJPR(COLECAO FESTA COORDENADO 5,MODA LOKA
30345,BLUSA FEM UM OMBRO SO C/BABADO (COLECAO FESTA COORDENADO 5)MODA LOKA .FJPR,MODA LOKA
30346,SAIA BALONE (COLECAO FESTA COORDENADO 5).MODA LOKA.FJPR,MODA LOKA
30347,BERMUDA FEM LISTRADA (COLECAO FESTA).MODA LOKA.FJPR,MODA LOKA
30348,SHORT FEM COM BOLSO NA FRENTE (COORDENADO 6).MODA LOKA.FJPR,MODA LOKA
30349,KIMONO FEM (COORDENADO 6)MODA LOKA.FJPR,MODA LOKA
30350,BLUSA FEM M/M COQUEIRO(COORDENADO 6).MODA LOKA.FJPR,MODA LOKA
30351,VLUSA FEM M/M COSTELA DE ADAO(COORDENADO 6),MODA LOKA
30352,SHORT FEM COSTELA DE ADAO(COORDENADO 6)MODA LOKA.FJPR,MODA LOKA
30353,CALCA FEM PLUS LISTRADA C/BOTOES.MODA LOKA.FPPR,MODA LOKA
30354,COLETE FEM PLUS LISTRADO.MODA LOKA.FPPR,MODA LOKA
30355,KIMONO FEM PLUS COQUEIRO.MODA LOKA.FPPR,MODA LOKA
30356,SAIA PLISSADA PLUS.MODA LOKA.FPPR,MODA LOKA
30357,BLUSA FEM PLISSADA PLUS.MODA LOKA.FPPR,MODA LOKA
30358,VESTIDO PLISSADO DE ALCA PLUS.MODA LOKA.FPPR,MODA LOKA
30359,COLETE FEM PLUS C/CORDA.MODA LOKA.FPPR,MODA LOKA
30360,SAIA PLISSADA (COLECAO FESTA COORDENADO 1).MODA LOKA.FJPR,MODA LOKA
30361,CALCA JEANS FEM BASICA BELEZAURO.FEMS,BRUNO BELEZAURO
30362,REGATA FEM CANELADA FULL.MINHA ESTAMPA.FJAR,MINHA ESTAMPA
30363,BLUSA M/M CANELADA.MINHA ESTAMPA.FPSL,MINHA ESTAMPA
30364,BLUSA MANGA JAPONESA CANELADA.MINHA ESTAMPA.FPSL,MINHA ESTAMPA
30365,COLETE FEM JUVENIL 3 BOTOES.MODA LOKA.IA4PR,MODA LOKA
30366,CALCA JUVENIL COM FENDA.MODA LOKA.IA4PR,MODA LOKA
30367,CROPPED JUVENIL UM OMBRO SO.MODA LOKA.IA4PR,MODA LOKA
30368,SEMI CROPPED MAX LACO.MODA LOKA.IA4PR,MODA LOKA
30369,SHORT SAIA JUVENIL C/ CAMADAS.MODA LOKA.IA4PR,MODA LOKA
30370,VESTIDO INFANTIL PLISSADO.MODA LOKA.IA4PR,MODA LOKA
30371,BLUSA FEWM JUVENIL SOLTINHA COQUEIRO.MODA LOKA.IA4PR,MODA LOKA
30372,CROPPED FEM ALCA LARGA ESTAMPADO.PIME.FJAR,PRIME
30373,CROPPED ESTAMPADO FULL.PRIME.FJAR,PRIME
30374,CALCA FEM VISCOSE SARJADA LISA.CANDY BEE.FCPR,CANDY BEE
30375,BLUSA FEM UM OMBRO SO.CANDY BEE.FCPR,CANDY BEE
30376,VESTIDO LONGO LISO 2 MARIAS.CANDY BEE.FCPR,CANDY BEE
30377,PORTA ESCOVA E PASTA DE DENTE.SIDWAY.AASF,SIDWAY
30378,SHORT FEM DE CREPE ESTAMPADO.MUNDO MIX.FJPR,MUNDO MIX
30379,CALCA FEM JEANS COM LISTRAS.MAX DENIM.FEPR,MAX DENIM
30380,CALCA FEM DE LINHO C/CINTO.MAX DENIM.FCPR,MAX DENIM
30381,CALCA FEM SARJA WIDE LEG.MAX DENIM.FCPR,MAX DENIM
30382,CALCA FEM SARJADA COS ALTO PRETA.MAX DENIM.FCPR,MAX DENIM
30383,CALCA FEM SARJADA COS ALTO CINZA.MAX DENIM.FCPR,MAX DENIM
30384,CALCA FEM SARJADA CO ALTO AVEIA.MAX DENIM.FCPR,MAX DENIM
30385,CALCA FEM DE LINHO MOM.MAX DENIM.FCPR,MAX DENIM
30386,SHORT FEM SE LINHO PREMIUM.MAX DENIM.FCPR,MAX DENIM
30387,BERMUDA FEM DE LINHO COS ALTO .MAX DENIM.FCPR,MAX DENIM
30388,SHORT FEM JEANS COM LISTRA.MAX DENIM.FEPR,MAX DENIM
30389,BERMUDA FEM JORTS JEANS.MAX DENIM.FEPR,MAX DENIM
30390,BERMUDA FEM SARJA AREIA.MAX DENIM.FCPR,MAX DENIM
30391,BERMUDA FEM SARJA BRANCA.MAX DENIM.FCPR,MAX DENIM
30392,BERMUDA FEM SARJA ROSE.MAX DENIM.FCPR,MAX DENIM
30393,BERMUDA FEM JEANS PLUS.MAX DENIM.FEPR,MAX DENIM
30394,CALCA MASC SARJA PLUS CINZA.MAX DENIM.MPPR,MAX DENIM
30395,CALCA MASC SARJA PLUS GELO.MAX DENIM.MPPR,MAX DENIM
30396,KIT CAIXINHA C/ PRESILHAS E XUXINHA. GABRIEL KAMP. AASF,GABRIEL CAMP
30397,CALCA MASC SARJA PLUS CHUMBO.MAX DENIM,MAX DENIM
30398,CALCA MASC SARJA PLUS KAKI.MAX DENIM.MPPR,MAX DENIM
30399,CALCA MASC SARJA PLUS PRETA.MAX DENIM.MPPR,MAX DENIM
30400,CALCA MASC SARJA PLUS MARINHO.MAX DENIM.,MAX DENIM
30401,CALCA SARJA MASC PLUS AREIA.MAX DENIM.MPPR,MAX DENIM
30402,CALCA MASC SLIM SARJA PLUS AREIA.MAX DENIM.MPPR,MAX DENIM
30403,CALCA MASC SLIM SARJA PLUS KAKI.MAX DENIM.MPPR,MAX DENIM
30404,CALCA MASC SLIM SARJA PLUS CARAMELO.MAX DENIM.MPPR,MAX DENIM
30405,CALCA MASC SLIM SARJA PLUS OLIVA.MAX DENIM.MPPR,MAX DENIM
30406,CALCA MASC SLIM SARJA PLUS GRAFITE.MAX DENIM.MPPR,MAX DENIM
30407,CALCA JEANS MASC RETA.MAX DENIM.MEPR,MAX DENIM
30408,BERMUDA MASC MAURICINHO SARJA ROSE.MAX DENIM.MCPR,MAX DENIM
30409,BERMUDA MASC MAURICINHO SARJA AZUL.MAX DENIM.MCPR,MAX DENIM
30410,BERMUDA MASC MAURICINHO SARJA AMARELO.MAX DENIM.MCPR,MAX DENIM
30411,BERMUDA MASC SARJA SLIM AZUL.MAX DENIM.MJPR,MAX DENIM
30412,BERMUDA MASC SARJA SLIM ROSA.MAX DENIM.MCPR,MAX DENIM
30413,BERMUDA MASC SARJA SLIM AREIA.MAX DENIM.MCPR,MAX DENIM
30414,BERMUDA MASC SARJA SLIM KAKI.MAX DENIM.MCPR,MAX DENIM
30415,BERMUDA MASC SARJA PLUS AREIA.MAX DENIM.MPPR,MAX DENIM
30416,BERMUDA MASC SARJA PLUS KAKI.MAX DENIM.MPPR,MAX DENIM
30417,BERMUDA MASC SARJA PLUS MARINHO.MAX DENIM.MPPR,MAX DENIM
30418,BERMUDA MASC SARJA PLUS PRETA.MAX DENIM.MPPR,MAX DENIM
30419,BERMUDA MASC SARJA PLUS BRANCA.MAX DENIM.MPPR,MAX DENIM
30420,REGATA FEM GOLA ALTA CANELADO IMPORTADO.MINHA ESTAMPA.FJAR,MINHA ESTAMPA
30421,BLUSA FEM M/M DE MALHA GOLA REDONDA.YORK.FJAR,YORK
30422,CAMISETA MASC M/M MALHA BASQUETE.YORK.MJAR,YORK
30423,BERMUDA MASC MOLETOM C/ APLIQUE.GOOD BLESS.MJAR,GOOD BLESS
30424,REGATA MASC BASICA MALHA MACHAO.GOOD BLESS.MJAR,GOOD BLESS
30425,CONJUNTO FEM CROPPED COM SHORT SILK MALIBU.GOOD BLESS.FJAR,GOOD BLESS
30426,SHORT FEM PLUS MOLETOM C/CADARCO.GOOD BLESS.FPAR,FORE
30427,FONE DE OUVIDO REDMI BLUETOOTH.FEIRAO DA MAQUIAGEM.AASF,FEIRÃO DA MAQUIAGEM
30428,CONJUNTO COLAR ARO+BRINCO.FEIRAO DA MAQUIAGEM.AASF,FEIRÃO DA MAQUIAGEM
30429,RELOGIO FEM CASUAL.FEIRAO DA MAQUIAGEM.AASF,FEIRÃO DA MAQUIAGEM
30430,KIT CALCINHA CANELADA BEGE/BRANCO.CAEDU.FIPR,CAEDU
30431,SHORT FEM ALFAIATARIA PLUS.AGTEX.FPPR,AGTEX
30432,CALCINHA CINTURA ALTA S/ COSTURA.CAEDU.FIPR,CAEDU
30433,CALCINHA CINTURA SUPER ALTA S/COSTURA.CAEDU.FIPR,CAEDU
30434,KIT CALCINHA S/ COSTURA MAQUINETA ROSA/PRETO.CAEDU.FIPR,CAEDU
30435,PIJAMA M/L POLYBRUSH.CAEDU.FIPR,CAEDU
30436,PIJAMA M/M POLYBRUSH.CAEDU.FIPR,CAEDU
30437,PIJAMA AMERICANO POLAR ROSA M/L.CAEDU.FIPR,CAEDU
30438,PIJAMA M/L CORAL BORDADO.CAEDU.FIPR,CAEDU
30439,SUTIA S/ COSTURA PRETO/MESCLA/ROSA/BRANCO.CAEDU.FIPR,CAEDU
30440,TOP S/ COSTURA PRETO/ VERMELHO /ROSA/ BRANCO.CAEDU.FIPR,CAEDU
30441,PIJAMA FEM M/L CORAL CORACAO.CAEDU.FIPR,CAEDU
30442,ROBE CORAL FLEECE JACQUARD FLORES.CAREDU.FIPR LBJ043,CAEDU
30443,CALCA FEM INF PLUSH C/ GLITTE 4/8.CAEDU.IA4PR,CAEDU
30444,CALCA FEM INF MOL FUR C/ FOIL 4/8.CAEDU.IA4PR,CAEDU
30445,CALCA WIDE POLYBRUSH COLLEGE IMPORTADO 4/8 CAEDU.IA4PR,CAEDU
30446,CALCA FEM INF MOLETOM MESCLA RECORTE 4/8.CAEDU.IA4PR,CAEDU
30447,CALCA FEM INF MOLETOM MINNIE IMPORTADO.CAEDU.IA4PR,CAEDU
30448,LEGGING INF CANELADA SEM COSTURA 4/10.CAEDU.IA4MS,CAEDU
30449,SHORT FEM INF SARJA COLOR ROSA.CAEDU.IA4AR,CAEDU
30450,JAQUETA FEM INF OFF WHITE IMPORTADO 4/8.CAEDU.IA4PR,CAEDU
30451,JAQUETA FEM INF COM CAPUZ 4/8.CAEDU.IA4PR,CAEDU
30452,BLUSA FEM INF SEM COSTURA 4/10.CAEDU.IA4PR,CAEDU
30453,JAQUETA FEM INF COLLEGE ROSA C/PAETE 4/8.CAEDU.IA4PR,CAEDU
30454,CASACO FEM INF PLUSH BORDADO 4/8.CAEDU.IA4PR,CAEDU
30455,JAQUETA FEM INF SHERPA ESTAMPADO 4/8.CAEDU.IA4PR,CAEDU
30456,JAQUETA FEM INF CORACAO.CAEDU.IA4PR,CAEDU
30457,CASACO FEM INF DE MOLETOM MINIE.CAEDU.IA4PR,CAEDU
30458,CASACO FEM INF DE MOLETOM ROSA.CAEDU.IA4PR,CAEDU
30459,CASACO FEM INF DE MOLETOM UNICORNIO 4/8.CAEDU.IA4PR,CAEDU
30460,CONJUNTO FEM INF PELINHO C/ BOLSO 4/8.CAEDU.IA4BR,CAEDU
30461,CALCA MEN JUVENIL DE MOLETOM.CAEDU,CAEDU
30462,CALCA MASC JUVENIL DE MOLETOM.10/16.CAEDU.OA4PR,CAEDU
30463,CALCA MASC JUVENIL MOLETOM 10/16.CAEDU.IO4PR,CAEDU
30464,CALCA MASC JUVENIL DE MOLETOM PRETA 10/16.CAEDU.IO4PR,CAEDU
30465,CALCA MASC JUVENIL DE MOTELOM 10/16.CAEDU.IO4PR,CAEDU
30466,CAMISA MASC JUVENIL XADREZ 10/16.CAEDU.IO4PR,CAEDU
30467,CAMISA MASC JUVENIL XADREZ C/CAPUZ 10/16.CAEDU.IO4PR,CAEDU
30468,JAQUETA MASC JUVENIL FE MICROFIBRA C/CAPUZ 10/16.CAEDU.IO4PR,CAEDU
30469,JAQUETA MASC JUVENIL DE MOLETOM C/CAPUZ10/16.CAEDU.IO4PR,CAEDU
30470,JAQUETA MASC JUVENIL DE MOLETOM C/ZIPEBOLSO E LAPELA.CAEDU.IO4PR,CAEDU
30471,JAQUETA MASC JUVENIL SHERPA DE MOLETOM C/BOLSO 10/16.CAEDU.IO4PR,CAEDU
30472,CASACO MASC DE MOLETOM JUVENIL C/ CAPUZ 10/16.CAEDU.IO4PR,CAEDU
30473,CALCA MASC INFANTIL DE MOLETOM 4/8.CAEDU.IO4PR,CAEDU
30474,CALCA MASC INFANTIL DE MOLETOM 4/8.CAEDU.IO4PR,CAEDU
30475,CALCA MASC INFANTIL DE MOLETOM CARGO 4/8.CAEDU.IO4PR,CAEDU
30476,CALCINHA PLUS SIZE EM MICROFIBRA C/DETALHE EM RENDA.VERSALLY.FIPR,VERSALLY
30477,CALCINHA CINTURA ALTA.VERSALLY.FIPR,VERSALLY
30478,CALCINHA CINTURA ALTA TECIDO BRILHANTE DE LEVE COMPRESSAO.VESALLY.FIPR,VERSALLY
30479,SUTIA DE MICROFIBRA C/ DETACHESEM RENDA.VERSALLY.FIPR,VERSALLY
30480,CALCINHA PLUS FIO DUPLO TECIDO BRILHANTE .VERSALLY.FIPR,VERSALLY
30481,SUTIA PLUS SEM BOJO DE RENDA ECETINETE C/ARO.VERSALLY.FIPR,VERSALLY
30482,SUTIA SEM BOJO C/ ARO COM DETAHLES FRONTAL.VERSALLY.FIPR,VERSALLY
30486,CALCINHA FIO DENTAL C/DETALHES EM RENDA C/ALCAS AJUSTAVEIS.VERSALLY.FIPR,VERSALLY
30487,CAMISOLA COM DETALHES EM RENDA NO BUSTO.VERSALLY.FIPR,VERSALLY
30488,CAMISOLA EM TULE C/CALCINHA FIO DENTAL.VERSALLY.FIPR,VERSALLY
30489,CAIXA DE SOM PORTATIL C/MICROFONE INTEGRADO.FEIRAO DA MAQUIAGEM.AASF,FEIRÃO DA MAQUIAGEM
30490,KIT PINTURA PARA CABELO 3PCS.FEIRAO DA MAQUIAGEM.AASF,FEIRÃO DA MAQUIAGEM
30491,CONJUNTO INFANTIL M/M C/APLIQUE.DUKY.IO4PR,DUKY
30492,CONJUNTO INF BERMUDA C/CAMISETA M/M ESTAMPADA.DUKY.IO4PR,DUKY
30493,CONJUNTO INF C/APLIQUE BERMUDA E CAMISETA M/M.DIKY.IO4PR,DUKY
30494,CONJUNTO INF BERMUDA E CAMISETA M/M C/APLIQUE .DUKY.IOPR,DUKY
30495,CONJUNTO INF BERMUDA MOLETINHO E CAMISETA M/M .DUKY.IOPR,DUKY
30496,REGATA MASC.YORK.MJPR,YORK
30497,CARMED DENTADURA.CIMED.AASF,CIMED
30498,CARMED ACIDO HIALURONICO.CIMED.AASF,CIMED
30499,CARMED LABIAL MELANCIA.CIMED.AASF,CIMED
30500,CARMED PROT NLABFPS BEIJINHO.CIMED.AASF,CIMED
30501,CARMED ROSA GLITTER.CIMED.AASF,CIMED
30502,CARMED LAB BRIGADEIRO.CIMED.AASF,CIMED
30503,CALCA INF DE MOLETOM 4/8.CAEDU.IO4PR,CAEDU
30504,CALCA MASC INF DE MOLETOM.CAEDU.IO4PR,CAEDU
30505,CALCA MASC INF DE MOLETOM LICENCIADA.CAEDU.IO4PR,CAEDU
30506,CALCA MASC INF JOGGER SARJA C/BOLSO 4/8.CAEDU.IO4MS ITA059,CAEDU
30507,CALCA MASC JUVENIL JOGGER SARJA CARGO.CAEDU.IO4PR,CAEDU
30508,CAMISA MASC INF FLANELA 4/8.CADU.IO4PR,CAEDU
30509,LENCO UMEDECIDO SNOW BABY PREMIUM 140 UN.CIMED.AASF,CIMED
30510,LENCO UMEDECIDO SNOW BABY HIDRATACAO INTENSA 140 UN.CIMED.AASF,CIMED
30511,OCULOS DE SOL MASC.LILI.AASF,LILI
30512,OCULOS DE SOL FEMININO.LILI.AASF,LILI
30513,ESTOJO PARA OCULOS.LILI.AASF,LILI
30514,LENCO UMEDECIDO BEBE LIMPINHO PREMIUM.CIMED.AASF,CIMED
30515,CAMISA MASC INF FLANELA C/CAPUZ 4/8.CAEDU.IO4PR,CAEDU
30516,JAQUETA MASC INF PUFFA HEROIS MARVEL 4/8.CAEDU.IO4PR,CAEDU
30517,CASACO MASC INF FULL ZIPER E CAPUZ 4/8.CAEDU.IO4PR,CAEDU
30518,CASACO MASC INF DE MOLETOM FLEECE MARVEL C/CAPUZ 4/8.CAEDU.IO4PR,CAEDU
30519,CALCA FEM JUVENIL MOLETOM C/RECORTE CIRRE 10/16.CAEDU.IA4PR,CAEDU
30520,CALCA FEM JUVENIL WIDE COLLEGE 10/16.CARDU.IA4PR,CAEDU
30521,CALCA FEM JUVENIL MOLETOM JOGGER 10/16.CAEDU.IA4PR,CAEDU
30522,CALCA FEM JUVENIL DE MOLETOM PINK 10/16.CAEDU.IA4PR,CAEDU
30523,CALCA FEM JUVENIL MOLETOM C/CIRRE 10/16.CAEDU.IA4PR,CAEDU
30524,LEGGING JUVENIL SEAM SEM COSTURA 10/16.CAEDU.IA4MS,CAEDU
30526,SHORT FEM PLUS SIZE LISO EM DUNA .SAQUINHO.FPAR,SAQUINHO
30527,BLUSA FEM JUVENIL CANELADA SEM COSTURA 10/16.CAEDU,CAEDU
30528,JAQUETA FEM JUVENIL COLLEGE IMPORTADO 10/16.CAEDU.IA4PR,CAEDU
30529,CASACO FEM JUVENIL SHERPA COLOR BLOCK 10/16.CAEDU.IA4PR,CAEDU
30530,BLUSA FEM M/M GOLA ALTA.MINHA ESTAMPA.FJAR,MINHA ESTAMPA
30531,CROPPED CANELADO NADADOR CAVADO.MINHA ESTAMPA.FJAR,MINHA ESTAMPA
30532,CROPPED CANELADO DECOTE QUADRADO.MINHA ESTAMPA.FJAR,MINHA ESTAMPA
30533,TOP CANELADO ALCA LARGA.MINHA ESTAMPA.FJAR,MINHA ESTAMPA
30534,REGATA CROPPED FEM PINEAPPLE.LEASH.FJPR,LEASH
30535,REGATA CROPPED FEM FIGHTING BACK.LEASH.FJPR,LEASH
30536,REGATA CROPPED FEM KISS.LEASH.FJPR,LEASH
30537,REGATA CROPPED FEM CHERRY.LEASH.FJPR,LEASH
30538,REGATA CROPPED FEM ROCK.LEASH.FJPR,LEASH
30539,REGATA CROPPED FEM CALIFORNIA .LEASH.FJPR,LEASH
30540,REGATA CROPPED FEM CALIFORNIA.LEASH.FJPR,LEASH
30541,REGATA CROPPED FEM BASICA.LEASH.FJPR,LEASH
30542,REGATA CROPPED FEM TUCANO.LEASH.FJPR,LEASH
30543,BLUSA FEM M/M LOOSE ONCA.LEASH.FJPR,LEASH
30544,BLUSA FEM M/M OVER SIZE BRAVGRY.LEASH.FJPR,LEASH
30545,BLUSA FEM M/M OVER SIZE C/LISTRA.LEASH.FJPR,LEASH
30546,CALCA PANTALONA LISTRADA C/ BOLSO E ZIPER.LILAS CHIQUE.FJPR,LILÁS CHIQUE
30547,CROPPED ALCA FINA LISTRADO.LILAS CHIQUE.FJPR,LILÁS CHIQUE
30548,SHORT FEM JEANS C/BOLSO.DECIZAO.FEPR,DECIZÃO
30549,SHORT LISTRADO C/ BOLSO.LILAS CHIQUE.FJPR,LILÁS CHIQUE
30550,SHORT FEM JEANS CORACAO.DECIZAO.FEPR,DECIZÃO
30551,VESTIDO ALCA FINA LUREX.LILAS CHIQUE.FJPR,LILÁS CHIQUE
30552,SHORT FEM JEANS BRANCO E OFF C/CINTO.DECIZAO.FEPR,DECIZÃO
30553,VESTIDO COM DETALHE NO DECOTE LUREX.LILAS CHIQUE.FJPR,LILÁS CHIQUE
30554,SHORT FEM JEANS C/PEDRAS.DECIZAO.FEPR,DECIZÃO
30555,VESTIDO ALCA FINA C/ BOTAO DUNA.LILAS CHIQUE.FJPR,LILÁS CHIQUE
30556,SHORT FEM JEANS C/FLOZINHA BRANCO E OFF.DECIZAO.FEPR,DECIZÃO
30557,VESTIDO LONGO 1 MARIA ALCA FINA C/ BOTAO.LILAS CHIQUE.FJPR,LILÁS CHIQUE
30558,SHORT FEM JEANS BASICO DESFIADO.DECIZAO.FEPR,DECIZÃO
30559,SAIA CURTA COM PREGAS MIX DE CORES.LILAS CHIQUE.FJPR,LILÁS CHIQUE
30560,SHORT FEM JEANS ZARA.DECIZAO.FEPR,DECIZÃO
30561,VESTIDO C/ BABADO ALCA COM AMARRACAO MIX DE CORES.LILAS CHIQUE.FJPR,LILÁS CHIQUE
30562,SHORT FEM JEANS C/ CINTO DE CETEM.DECIZAO.FEPR,DECIZÃO
30563,BLUSA ALCA FINA BALONE.LILAS CHIQUE.FJPR,LILÁS CHIQUE
30564,"SHORT FEM JEANS C/BORDADOS.DECIZAO,FEPR",DECIZÃO
30565,BLUSA ALCA FINA C/ BOTAO E BABADO.LILAS CHIQUE.FJPR,LILÁS CHIQUE
30566,SHORT FEM JEANS BLACK C/CINTO.DECIZAO.FEPR,DECIZÃO
30567,BLUSA REGATA BASICA LESE.LILAS CHIQUE.FJPR,LILÁS CHIQUE
30568,SHORT FEM JEANSC/PEDRA E BROCHER.DECIZAO.FEPR,DECIZÃO
